File extension,Name
.py,peridot pie
.ex,peridot elixir
.talon,peridot talon
.md,peridot mark down
.sh,peridot shell
.vim,peridot vim
.c,peridot see
.cs,peridot see sharp
.com,peridot com
.net,peridot net
.org,peridot org
.us,peridot us
.us,peridot U S
.co.uk,peridot co dot UK
.exe,peridot exe
.bin,peridot bin
.bin,peridot bend
.json,peridot jason
.json,peridot jay son
.js,peridot J S
.js,peridot java script
.ts,peridot TS
.ts,peridot type script
.csv,peridot csv
.csv,totssv
.csv,tot csv
.csv,peridot cassie
.txt,peridot text
.jl,peridot julia
.jl,peridot J L
.html,peridot html
.css,peridot css
.sass,peridot sass
.svg,peridot svg
.png,peridot png
.wav,peridot wave
.flac,peridot flack
.doc,peridot doc
.docx,peridot doc x
.pdf,peridot pdf
.tar,peridot tar
.gz,peridot g z
.gzip,peridot g zip
.zip,peridot zip
.toml,peridot toml
.java,peridot java
.class,peridot class
.log,peridot log
